 #log(age)  Mini          Mact        logl      logt     logg      frac(XC_XO)  Phase 
   5.50  350.00677490   339.1720      6.9950      4.3629      2.3770      0.4308   0.0000
   5.50  350.00680542   338.6910      6.9960      4.3362      2.2690      0.4320   0.0000
   5.50  350.00683594   338.1600      6.9970      4.3047      2.1410      0.4325   0.0000
   5.50  350.00689697   337.3550      6.9990      4.2943      2.0970      0.5531   0.0000
   5.50  350.00692749   336.8910      7.0000      4.2667      1.9850      0.5542   0.0000
   5.50  350.00695801   336.4530      7.0010      4.2330      1.8480      0.5535   0.0000
   5.50  350.00698853   336.3240      7.0010      4.2224      1.8050      0.5533   0.0000
   5.50  350.00701904   328.9450      7.0020      4.2306      1.8270      0.5544   0.0000
   5.50  350.00704956   326.4800      7.0030      4.2335      1.8340      0.5545   0.0000
   5.50  350.00708008   323.1330      7.0040      4.2353      1.8360      0.5548   0.0000
   5.50  350.00711060   321.2340      7.0050      4.2321      1.8200      0.5547   0.0000
   5.50  350.00714111   318.3980      7.0060      4.2430      1.8590      0.5551   0.0000
   5.50  350.00717163   316.3400      7.0070      4.2584      1.9170      0.5551   0.0000
   5.50  350.00720215   314.0200      7.0090      4.2700      1.9580      0.5553   0.0000
   5.50  350.00723267   312.1020      7.0100      4.2648      1.9340      0.5550   0.0000
   5.50  350.00726318   309.5740      7.0110      4.2804      1.9910      0.5552   0.0000
   5.50  350.00729370   308.1370      7.0120      4.2682      1.9400      0.5549   0.0000
   5.50  350.00732422   306.6560      7.0130      4.2539      1.8790      0.5548   0.0000
   5.50  350.00735474   305.1720      7.0140      4.2571      1.8890      0.5547   0.0000
   5.50  350.00738525   302.4100      7.0150      4.2840      1.9910      0.5549   0.0000
   5.50  350.00741577   300.8120      7.0160      4.2849      1.9910      0.5546   0.0000
   5.50  350.00744629   299.1880      7.0180      4.2912      2.0130      0.5547   0.0000
   5.50  350.00747681   297.3830      7.0190      4.2799      1.9640      0.5543   0.0000
   5.50  350.00750732   295.8090      7.0200      4.2842      1.9780      0.5543   0.0000
   5.50  350.00753784   293.1480      7.0220      4.3120      2.0830      0.5544   0.0000
